id;fecha;dia;mes;anio;cuatrim;diasemana;esfinde
1;01/01/2018;1;1;2018;1;lunes;0
2;02/01/2018;2;1;2018;1;martes;0
3;03/01/2018;3;1;2018;1;miercoles;0
4;04/01/2018;4;1;2018;1;jueves;0
5;05/01/2018;5;1;2018;1;viernes;0
6;06/01/2018;6;1;2018;1;sabado;1
7;07/01/2018;7;1;2018;1;domingo;1
8;08/01/2018;8;1;2018;1;lunes;0
9;09/01/2018;9;1;2018;1;martes;0
10;10/01/2018;10;1;2018;1;miercoles;0
11;11/01/2018;11;1;2018;1;jueves;0
12;12/01/2018;12;1;2018;1;viernes;0
13;13/01/2018;13;1;2018;1;sabado;1
14;14/01/2018;14;1;2018;1;domingo;1
15;15/01/2018;15;1;2018;1;lunes;0
16;16/01/2018;16;1;2018;1;martes;0
17;17/01/2018;17;1;2018;1;miercoles;0
18;18/01/2018;18;1;2018;1;jueves;0
19;19/01/2018;19;1;2018;1;viernes;0
20;20/01/2018;20;1;2018;1;sabado;1
21;21/01/2018;21;1;2018;1;domingo;1
22;22/01/2018;22;1;2018;1;lunes;0
23;23/01/2018;23;1;2018;1;martes;0
24;24/01/2018;24;1;2018;1;miercoles;0
25;25/01/2018;25;1;2018;1;jueves;0
26;26/01/2018;26;1;2018;1;viernes;0
27;27/01/2018;27;1;2018;1;sabado;1
28;28/01/2018;28;1;2018;1;domingo;1
29;29/01/2018;29;1;2018;1;lunes;0
30;30/01/2018;30;1;2018;1;martes;0
31;31/01/2018;31;1;2018;1;miercoles;0
32;01/02/2018;1;2;2018;1;jueves;0
33;02/02/2018;2;2;2018;1;viernes;0
34;03/02/2018;3;2;2018;1;sabado;1
35;04/02/2018;4;2;2018;1;domingo;1
36;05/02/2018;5;2;2018;1;lunes;0
37;06/02/2018;6;2;2018;1;martes;0
38;07/02/2018;7;2;2018;1;miercoles;0
39;08/02/2018;8;2;2018;1;jueves;0
40;09/02/2018;9;2;2018;1;viernes;0
41;10/02/2018;10;2;2018;1;sabado;1
